Review Title,Review Text,Star Rating,Date,Author,Tokenised_Review
Just purchased a fillet burger box…,"Just purchased a fillet burger box meal, there was literally two piece’s of the lettuce stalk and one piece of actual lettuce brown and limp. The chicken was so thin and dry, I couldn’t eat it. I chose the coleslaw as part of the meal. It’s the worst coleslaw I’ve had in my life, it was grey and tasteless and considering they don’t know where I’m going to eat, was not even supplied any cutlery. Chips disgusting, what’s with all this limp “seasoned chips” why can’t we just purchase normal chips. I also order 2 x 3 hot wings, they ignored our request and just placed these fat lumps of crunchy nonsense in one bag. Let’s just say KFC is no longer what it used to be. Complete waste of money and I’m still hungry. Had I purchased online, would definitely request refund. ",1,2026-03-07,P N,purchased fillet burger box meal literally two piece lettuce stalk piece actual lettuce brown limp thin dry couldnt eat chose coleslaw part meal worst coleslaw life grey tasteless considering eat supplied cutlery chip disgusting whats limp seasoned chip purchase normal chip hot wing ignored request placed fat lump crunchy nonsense bag let longer complete waste money hungry purchased online definitely request refund
Amna was good great food great service,Amna was good great food great service ,5,2026-03-07,Leo Yeomans,amna great food great service
The chicken pieces are too salty,"The chicken pieces are too salty, it was impossible to eat. And this wasn't the first time this happened always when I did made any order, some pieces are always too salty",1,2026-03-06,Lenka Imriskova,piece salty impossible eat wasnt first happened made piece salty
Hair in food and no apology or refund ,"Hair in my food and complete fail to take any responsibility. Told me to talk to deliveroo who They tried to offer me a discount on
My burger despite making me sick and stopping the whole family enjoying my meal ",1,2026-03-04,Richard Burton,hair food complete fail take responsibility told talk deliveroo tried offer discount burger despite making sick stopping whole family enjoying meal
Bad reviews Fc,"I ask them if they sell chicken and they say yes.
I ask if they have chicken in their menu and they say yes
I ask f the have a kitchen and they say yes 
I ask if they have meet and they run me out of store",1,2026-03-04,pedro,ask sell yes ask menu yes ask kitchen yes ask meet run
Had a meal its discusting cold and…,Had a meal its discusting cold and chicken was was hard absolutly horrid,1,2026-03-04,Susan Atherton,meal discusting cold hard absolutly horrid
Parking is useless ,"KFC Hyde SK14 1ND. 2 families met up on 23rd Feb 26 and we asked staff how long the parking was for, told 90 mins. A week later we both got a £60 parking fine, apparently it’s only 60 mins, not long for 4 children to meet and eat, won’t be going back. ",1,2026-02-23,Shelley Vaughan,hyde sk nd family met rd feb asked staff long parking told min week later parking fine apparently min long child meet eat wont
I love the taste of KFC and hadn't had…,I love the taste of KFC and hadn't had any since before COVID pandemic. Today I treated myself but am shocked at the small size pieces of chicken and the much higher cost! The food tasted delicious but it no longer represents value for money. Shame really because I won't be having it again.,2,2026-03-03,Margaret Wilson,love taste hadnt since covid pandemic treated shocked small size piece higher cost food tasted delicious longer represents value money shame wont
Absolutely disgrace.terrible value for…,Absolutely disgrace.terrible value for money.kids meals are embarrassing.,1,2026-03-02,Paul Mcfadden,absolutely disgraceterrible value moneykids meal embarrassing
Lichfield Town centre KFC.,"Lichfield Town centre KFC.
I only went in for a coke and fries but the service was better than some restaurants. I struggled with ordering food so staff came over sorted out cheapest option,gave me a free sample of new drink.Place was immaculate and staff appeared happy to be there,I'll go back.",4,2026-03-02,Andy Whelpton,lichfield town centre coke fry service restaurant struggled ordering food staff came sorted cheapest optiongave free sample drinkplace immaculate staff appeared happy thereill
Items missing from our order when…,Items missing from our order when contacting the so called KFC care squad the response it not our problem you have to contact someone else very poor customer service ,1,2026-02-27,Paul,item missing contacting called care squad response problem contact someone else poor customer service
TBH 1 star is too many.,"TBH 1 star is too many.
Ordered online for delivery from Madeley, Telford. Delivery time kept getting pushed back and when it did arrive 1 1/2 hours after the order was placed the delivery driver looked like a slob, did nothing more than grunt at us as his phone was more important and walk off. When we opened the food it was cold.
If you’re going to offer a delivery service for hot food, then make sure it gets to the customer on time and hot.
Needless to say we had to then drive to get a different order from elsewhere.
Useless company.",1,2026-02-28,AJ,tbh star many online delivery madeley telford delivery kept getting pushed arrive hour placed delivery driver looked slob nothing grunt u phone important walk opened food cold youre offer delivery service hot food sure get customer hot needless drive different elsewhere useless company
Shame on you KFC,"Purchased a Zinger Stacker at KFC Ferrybridge .. not cheap at £9.50 just for the burger.  Opened it whilst on journey and they had made the burger out of two mini fillets, seriously!  I couldn’t return to take it back as I’d travelled too far but have to say it was the single most shameful product from KFC I have experienced in my lifetime, shame on you KFC!",1,2026-02-27,Deane,purchased zinger stacker ferrybridge cheap burger opened whilst journey made burger two mini fillet seriously couldnt return take id travelled far single shameful product experienced lifetime shame
